Date,City,Country,Venue,Opening Act(s)
"June 15, 1996",Irvine,United States,Irvine Meadows Amphitheatre,Red Hot Chili Peppers
"June 28, 1996",Detroit,United States,Tiger Stadium,Alice in Chains Sponge
"June 30, 1996",Louisville,United States,Freedom Hall,Alice in Chains
"July 2, 1996",St. Louis,United States,Kiel Center,Alice in Chains
"July 3, 1996",Kansas City,United States,Kemper Arena,Alice in Chains
"July 5, 1996",Dallas,United States,Reunion Arena,Pushmonkey
"July 6, 1996",Houston,United States,The Summit,Pushmonkey
"July 7, 1996",San Antonio,United States,Alamodome,Pushmonkey
"July 9, 1996",New Orleans,United States,Louisiana Superdome,The Melvins
"July 10, 1996",Memphis,United States,Pyramid Arena,The Melvins
"July 12, 1996",Moline,United States,The MARK of the Quad Cities,The Melvins
"July 13, 1996",Saint Paul,United States,St. Paul Civic Center,The Melvins
"July 14, 1996",Rosemont,United States,Rosemont Horizon,The Melvins
"July 16, 1996",Rosemont,United States,Rosemont Horizon,The Nixons
"July 17, 1996",Fairborn,United States,Ervin J. Nutter Center,The Nixons
"July 19, 1996",Cleveland,United States,Gund Arena,The Nixons
"July 20, 1996",Cleveland,United States,Gund Arena,D Generation
"July 21, 1996",Pittsburgh,United States,Civic Arena,The Nixons
"July 22, 1996",Pittsburgh,United States,Civic Arena,D Generation
"July 25, 1996",New York City,United States,Madison Square Garden,D Generation
"July 26, 1996",New York City,United States,Madison Square Garden,CIV
"July 27, 1996",New York City,United States,Madison Square Garden,311
"July 28, 1996",New York City,United States,Madison Square Garden,The Nixons
"July 30, 1996",Boston,United States,FleetCenter,The Nixons
"July 31, 1996",Boston,United States,FleetCenter,D Generation
"August 2, 1996",Quebec City,Canada,Colisée de Quebec,D Generation
"August 3, 1996",Montreal,Canada,Molson Centre,D Generation
"August 5, 1996",Ottawa,Canada,Corel Centre,D Generation
"August 6, 1996",Toronto,Canada,SkyDome,D Generation
"August 8, 1996",Cincinnati,United States,Riverfront Coliseum,D Generation
"August 9, 1996",Indianapolis,United States,Market Square Arena,D Generation
"August 10, 1996",Milwaukee,United States,Bradley Center,D Generation
"August 17, 1996 [ a ]",Leicestershire,England,Castle Donington,—
"August 21, 1996",Phoenix,United States,America West Arena,Stabbing Westward
"August 23, 1996",Inglewood,United States,Great Western Forum,Stabbing Westward
"August 24, 1996",Inglewood,United States,Great Western Forum,Stabbing Westward
"August 25, 1996",Inglewood,United States,Great Western Forum,Red Five
"August 27, 1996",San Jose,United States,San Jose Arena,Stabbing Westward
